language,popularity,audience,movies count
cn,0.30440910963935075,0.30440910963935075,0.0021660649819494585
da,0.6298252455685065,0.6298252455685065,0.0009626955475330925
de,0.35484165581218435,0.35484165581218435,0.0048134777376654635
en,0.8916179063954952,0.8916179063954952,1.0
es,0.4679992198866009,0.4679992198866009,0.006498194945848375
fa,0.07457623593296347,0.07457623593296347,0.00024067388688327315
fr,0.345441738475978,0.345441738475978,0.013959085439229843
he,0.0607193541218794,0.0607193541218794,0.0
hi,0.0,0.0,0.0024067388688327317
it,0.7718635988753086,0.7718635988753086,0.0021660649819494585
ja,1.0,1.0,0.003128760529482551
ko,0.7142633373791514,0.7142633373791514,0.0019253910950661852
nl,0.10447820183897966,0.10447820183897966,0.0
pt,0.48263232897483827,0.48263232897483827,0.0009626955475330925
ru,0.162647346529389,0.162647346529389,0.0019253910950661852
sv,0.1524494330401882,0.1524494330401882,0.0004813477737665464
th,0.147033498197009,0.147033498197009,0.0
zh,0.2876690488887295,0.2876690488887295,0.0048134777376654635
